

//++************** Deployment Settings ***************
// Firmware version: 	v4.1.1 MpHOx revB
// Sampling period (s)	30
// Samples hour align:	Yes
// Vrsi sps,trials: 	20, 10
// Vrse sps,trials: 	20, 10
// Vtherm sps,trials	20, 5
// Ik sps, trials:   	20, 1
// Vk sps, trials:   	20, 5
// Ib sps, trials:   	20, 1
// Vb sps, trials:   	20, 5
// Vbias sps,trials: 	40, 1
// Pump on time (s):	0
// Low battery voltage:	6.5
// Output mode:        	Normal
// Deploy time:   	2022/06/22 00:12:10
// Time zone:       	GMT
// TCOffset:     	0.000000
// k0int:        	-0.400000
// k0ext:        	-1.300000
// k2int:        	-0.001455
// k2ext:        	-0.001081
// Def Sal (ppt):	35.000000
// Offset Ik:    	0.000000
// Offset Ib:    	0.000000
// S-H c0        	340.981986
// S-H c1        	-0.000091
// S-H c2        	-95.088067
// S-H c3        	0.965370
// Version Info: 	v4.1.1 MpHOx revB
// File name:     	YODA22_1.txt
// User initials: 	yt
// Board SN:      	A001030
// MCAP SN:       	D000042
// DuraFET SN:    	GDF
// Optode SN:     	CHECK ON NEXT DISASSEM
// CTD SN:        	NA
// Pump1 SN:      	05 10677
// Pump2 SN:      	na
// Package name:  	MpHOx001
// Fab Note:      	2021_R30 installed, single input bias
// Deploy note:   	YODA22 mpHOx
// A -- Sample Num               = 1
// B -- MM/DD/YYYY HH:MM:SS      = 1
// C -- Battery Volt             = 1
// D -- Bias Battery Pos         = 1
// E -- Bias Battery Neg         = 1
// F -- Board Temperature        = 1
// G -- Board Humidity           = 1
// H -- Vthermistor              = 0
//      Vtermistor Std           = 0
// I -- Temperature Calc         = 0
// J -- Vrsi (Int Ref pH volt)   = 0
//      Vrsi Std                 = 0
// K -- pH Vrsi Calc             = 0
// L -- Vrse (Ext Ref pH volt)   = 1
//      Vrse Std                 = 1
// M -- pH Vrse Calc             = 0
// N -- Vrsi Biased (7pH=0v)     = 0
// O -- Vrsi Biased Std          = 0
// P -- Vrse Biased (7pH=0v)     = 0
// Q -- Vrse Biased Std          = 0
// R -- Counter Electrode Vk     = 1
//      Counter Electrode Vk Std = 1
// T -- Counter Electrode Cur Ik = 1
// U -- Substrate Current        = 1
// V -- Optode                   = 1
// W -- Conductivity             = 1,  SBE37 MicroCat
// X -- OCR-504                  = 0
//--**************************************************


 SampNum	     MM/DD/YYYY HH:MM:SS	VbatMain	VbiasPos	VbiasNeg	 TC_cont	Humidity	    Vrse	Vrse_std	      Vk	  Vk_std	      Ik	      Ib	Opt_PN	Opt_SN	Moxy	O2satper	TC_opt	Dphase	Bphase	Rphase	Bamp	Bpot	Ramp	Opt_rawtemp	TC_MCat	Cond	pSal	Pres	Date_MC	Time_MC
#0000011	06/22/2022 00:17:30	   10.53	    3.63	   -3.57	   23.30	      27	-0.943584	0.000034	-0.871134	0.000032	   -5.86	  -1.577	5730	1914	419.215	129.065	13.590	27.546	28.295	35.602	7.307	620.3	629.0	429.5	  20.9317	  3.99842	   -0.114	  27.9722	 22 Jun 2022	 00:17:29
#0000012	06/22/2022 00:18:00	   10.53	    3.63	   -3.57	   23.17	      27	-0.938150	0.000012	-0.865892	0.000026	    4.43	  -1.468	5730	1914	401.592	122.954	13.340	28.084	28.833	36.125	7.293	637.6	629.6	437.6	  20.8097	  3.95096	   -0.112	  27.6821	 22 Jun 2022	 00:17:59
#0000013	06/22/2022 00:18:30	   10.58	    3.63	   -3.58	   23.30	      27	-0.934846	0.000014	-0.862821	0.000029	   -4.28	  -1.533	5730	1914	388.541	118.183	13.047	28.544	29.293	36.581	7.288	652.5	630.6	447.0	  20.5698	  3.93264	   -0.114	  27.6948	 22 Jun 2022	 00:18:29
#0000014	06/22/2022 00:19:00	   10.56	    3.63	   -3.57	   23.30	      27	-0.933899	0.000022	-0.861511	0.000020	   -7.83	  -1.529	5730	1914	364.935	109.923	12.611	29.388	30.137	37.415	7.278	679.5	631.5	461.1	  20.2710	  3.92542	   -0.113	  27.8334	 22 Jun 2022	 00:18:59
#0000015	06/22/2022 00:19:30	   10.57	    3.63	   -3.58	   23.30	      27	-0.932665	0.000009	-0.860229	0.000028	   -4.23	  -1.515	5730	1914	359.331	107.924	12.483	29.608	30.357	37.629	7.272	686.8	632.7	465.2	  20.0989	  3.91830	   -0.113	  27.8904	 22 Jun 2022	 00:19:29
#0000016	06/22/2022 00:20:00	   10.55	    3.63	   -3.57	   23.17	      27	-0.931099	0.000009	-0.859251	0.000030	   -6.88	  -1.490	5730	1914	364.126	109.687	12.614	29.411	30.160	37.423	7.263	680.9	634.1	461.0	  19.9652	  3.92933	   -0.113	  28.0664	 22 Jun 2022	 00:19:59
#0000017	06/22/2022 00:20:30	   10.56	    3.63	   -3.58	   23.17	      27	-0.930507	0.000010	-0.858511	0.000050	   -8.15	  -1.499	5730	1914	360.419	108.139	12.438	29.594	30.343	37.597	7.255	687.0	635.5	466.7	  19.7064	  3.91025	   -0.113	  28.0871	 22 Jun 2022	 00:20:29
#0000018	06/22/2022 00:21:00	   10.58	    3.63	   -3.57	   23.17	      27	-0.929267	0.000019	-0.858172	0.000029	   -9.59	  -1.519	5730	1914	364.514	110.208	12.777	29.333	30.082	37.333	7.251	678.8	637.0	455.7	  19.4167	  3.94233	   -0.113	  28.5398	 22 Jun 2022	 00:20:59
#0000019	06/22/2022 00:21:30	   10.56	    3.63	   -3.57	   23.17	      27	-0.927524	0.000018	-0.857104	0.000036	   -5.27	  -1.508	5730	1914	388.676	117.749	12.867	28.611	29.360	36.604	7.243	656.0	638.6	452.8	  19.1139	  3.95507	   -0.114	  28.8509	 22 Jun 2022	 00:21:29
#0000020	06/22/2022 00:22:00	   10.56	    3.63	   -3.58	   22.91	      27	-0.927145	0.000010	-0.856773	0.000028	  -12.08	  -1.529	5730	1914	387.145	117.152	12.816	28.673	29.422	36.660	7.237	658.3	639.9	454.5	  18.8699	  3.96915	   -0.114	  29.1358	 22 Jun 2022	 00:21:59
